feature_name,original_value,encoded_value
locality,HBR Layout,1214
locality,Gnana bharathi,1122
locality,Maruthi Sevanagar,2174
locality,Uttarahalli Hobli,3740
locality,Ejipura,991
locality,R T  Nagar,2814
locality,Thanisandra,3626
locality,Jalahalli,1424
locality,Frazer Town,1033
locality,Brookefield,610
locality,Murugeshpalya,2315
locality,Amrutahalli,164
locality,CV Raman Nagar,637
locality,Jakkur,1422
locality,Richmond Town,2948
locality,Konanakunte,1810
locality,hebbal kempapura,4051
locality,Varthur,3784
locality,Varadharaja Nagar,3777
locality,RR Nagar,2825
locality,Kalyan Nagar,1585
locality,Doddathoguru,926
locality,Cooke Town,786
locality,Nagarbhavi,2343
locality,Bilekahalli,541
locality,HAL,1213
locality,Abbigere,58
locality,Yemalur,3998
locality,Kengeri,1711
locality,Budigere Cross,617
locality,Lingarajapuram,1956
locality,Cox Town,789
locality,Kammanahalli,1606
locality,Benson Town,473
locality,Koralur,1831
locality,Rayasandra,2931
locality,Ganganagar,1068
locality,Chandra Layout Extension,679
locality,Ramamurthy Nagar,2890
locality,Subramanyapura,3521
locality,Sarjapur Road Wipro To Railway Crossing,3099
locality,JP Nagar Phase 7,1394
locality,HSR Layout,1221
locality,Kaval Byrasandra,1698
locality,Hoodi,1302
locality,Domlur,933
locality,JP Nagar Phase 6,1393
locality,NRI Layout,2331
locality,Kumbalgodu,1889
locality,Marathahalli,2154
locality,Kodigehalli,1778
locality,Yeshwantpur,4002
locality,Arakere,222
locality,Electronic City Phase 2,1001
locality,Devinagar,876
locality,Akshayanagar,109
locality,Kartik Nagar,1661
locality,Sarjapur Road Till Wipro,3098
locality,Basaveswarnagar,427
locality,Marsur,2165
locality,Kumaraswamy Layout,1886
locality,Horamavu,1305
locality,Sarvagnanagar,3109
locality,Nelamangala,2464
locality,Jayanagar,1459
locality,Doddanekundi,925
locality,Kasturi Nagar,1678
locality,Byrathi,627
locality,Uttarahalli,3739
locality,Nagondanahalli,2354
locality,Mahadevapura,2034
locality,Mahadev pura,2033
locality,JP Nagar Phase 9,1396
locality,Bellandur,466
locality,Shanti Nagar,3355
locality,Nagawara,2348
locality,Nagasandra,2345
locality,Sanjay Nagar,3063
locality,Banashankari 6th Stage 6th Block,368
locality,Annapurneshwari Nagar,210
locality,Domlur Layout,935
locality,Nagenahalli,2350
locality,Hampapura,1237
locality,Electronics City,1003
locality,Dasarahalli on Tumkur Road,832
locality,Muneshwara Nagar,2304
locality,Kithaganur Colony,1769
locality,Doddakannelli,924
locality,Kodathi,1774
locality,Carmelaram,642
locality,Silk Board,3429
locality,Sahakar Nagar,3009
locality,Ulsoor,3708
locality,Kadubeesanahalli,1542
locality,Mavalli,2186
locality,Lingadheeranahalli,1953
locality,Avalahalli Off Sarjapur Road,259
locality,Hulimavu,1321
locality,Devarachikkana Halli,870
locality,Medahalli,2196
locality,Sir M V Nagar,3445
locality,Singasandra,3436
locality,Hosa Road,1306
locality,Dasarahalli,830
locality,Chinnapanna Halli,745
locality,Sanjaynagar,3065
locality,GB Palya,1042
locality,Kadugondanahalli,1545
locality,Chikkabettahalli,725
locality,Khajisonnanahalli,1722
locality,Doddabommasandra,921
locality,Choodasandra,762
locality,Kuvempu Layout on Hennur Main Road,1910
locality,New Thippasandra,2513
locality,Attiguppe,249
locality,Kudlu Gate,1879
locality,Bommenahalli,582
locality,Prakruthi Township,2763
locality,BTM 1st Stage,296
locality,ITPL,1344
locality,Nagavara,2346
locality,Harohalli,1260
locality,KPC Layout,1524
locality,Vinayaka Layout Road,3889
locality,Yelahanka Satellite Town,3996
locality,Chikballapur,718
locality,Ashok Nagar,235
locality,Halanayakanahalli,1232
locality,Bannerghatta,398
locality,RT Nager,2829
locality,Jogupalya,1489
locality,Jeevan Bima Nagar,1469
locality,Vignana Kendra,3853
locality,Kodihalli,1780
locality,Bennigana Halli,472
locality,Kannamangala,1637
locality,Wilson Garden,3978
locality,Yelahanka,3994
locality,Bagaluru Near Yelahanka,320
locality,Narayanapura on Hennur Main Road,2400
locality,Amruthahalli,165
locality,Kaikondrahalli,1549
locality,Murugesh Palya,2314
locality,Vimanapura,3885
locality,Rustam bagh Layout,2969
locality,Kanakapura,1616
locality,Bangalore City Municipal Corporation Layout,389
locality,byatarayanapura,4025
locality,Seshadripuram,3317
locality,Bettadasapura,476
locality,Bhoganhalli,516
locality,Jigani,1475
locality,Gottigere,1150
locality,Reliaable Tranquil Layout,2940
locality,BTM Layout 2nd Stage,300
locality,Ramagondanahalli,2888
locality,Anagalapura Near Hennur Main Road,167
locality,JP Nagar Phase 1,1389
locality,Malleswaram,2093
locality,Kanakapura Road Beyond Nice Ring Road,1617
locality,Vijayanagar,3867
locality,Sai Baba Ashram,3016
locality,Chansandra,683
locality,Kalkere,1575
locality,Devanahalli,868
locality,Sanjeevini Nagar,3067
locality,Ramanashree California Gardens Layout,2891
locality,Virupakshapura,3901
locality,judicial layout,4060
locality,Sampangiram Nagar,3049
locality,Balaji Layout,340
locality,Sarjapur,3095
locality,Dwarka Nagar,960
locality,Doddakammanahalli,922
locality,Panduranga Nagar,2640
locality,Bagaluru,319
locality,Kudlu,1878
locality,Dodda Banaswadi,916
locality,Mallathahalli,2091
locality,Vasanth Nagar,3795
locality,Richards Town,2946
locality,Chikkalasandra,729
locality,Volagerekallahalli,3924
locality,Hosur,1313
locality,Kannur on Thanisandra Main Road,1641
locality,Panathur,2627
locality,Balagere,338
locality,Basapura,421
locality,Chokkanahalli,758
locality,Meenakshi Layout,2202
locality,Kempe Gowda Nagar,1707
locality,Talaghattapura,3576
locality,Chikkagubbi on Hennur Main Road,727
locality,Parappana Agrahara,2651
locality,Vittasandra,3916
locality,JP Nagar Phase 8,1395
locality,Bommasandra,579
locality,Battarahalli,431
locality,5th Phase,30
locality,Mallasandra,2089
locality,Margondanahalli,2156
locality,Devara Jeevanahalli,869
locality,Jyotipuram,1511
locality,Tirumanahalli,3673
locality,R.K. Hegde Nagar,2816
locality,Hulimangala,1319
locality,Shingapura,3390
locality,Kvalasanahalli,1911
locality,Narayanapura Hennur Main Road,2399
locality,Agara,88
locality,Kaggalipura,1547
locality,Jnana Ganga Nagar,1480
locality,Kothanur,1846
locality,Mailasandra,2065
locality,Agrahara Layout,92
locality,Sarjapur Road Post Railway Crossing,3097
locality,Tejaswini Nagar,3597
locality,Jaya Chamarajendra Nagar,1456
locality,Sampigehalli,3050
locality,RMV Extension Stage 2,2823
locality,Anantapura,182
locality,Mallasandra Hoskote,2090
locality,RMV,2821
locality,Varanasi,3781
locality,K C Krishna Reddy Layout,1512
locality,Maraganahalli,2149
locality,Dooravani Nagar,938
locality,Challaghatta,655
locality,Kuthaganahalli,1907
locality,Adugodi,84
locality,Mangammanapalya,2115
locality,Armane Nagar,230
locality,2nd Phase,22
locality,Sivanchetti Gardens,3451
locality,Nagapura,2338
locality,Gudighattanahalli,1179
locality,Kamala Nagar,1594
locality,Yeshwanthpur,4001
locality,Mahalakshmi Layout,2037
locality,Maruthi Nagar,2171
locality,Thurahalli,3654
locality,Koti Hosahalli,1852
locality,Chamrajpet,658
locality,Sector 3 HSR Layout,3212
locality,Pattandur Agrahara Road,2683
locality,kaggadaspura,4066
locality,Nallurhalli Whitefield,2371
locality,OMBR Layout,2542
locality,Rammurthi Nagar,2907
locality,Devarachikkanahalli,871
locality,Neeladri Nagar Bengaluru,2451
locality,SARJAPURA ROAD,2975
locality,Nagappa Reddy Layout Main Road,2337
locality,Kodichikkenahalli,1777
locality,Garudachar Palya Mahadevapura,1080
locality,Channasandra,682
locality,Maithri Layout Kadugodi,2067
locality,hunnur,4057
locality,HSR layout,1224
locality,Somasundarapalya,3465
locality,Hosapalaya Garvebhavi Palya,1310
locality,gubbalala,4049
locality,Rachenahalli,2834
locality,Suddaguntepalya,3525
locality,Srirampuram,3505
locality,Bannerughatta,400
locality,Amruthahalli Main Road,166
locality,hosa road junction electronics city,4056
locality,somsundrapalya bangalore,4127
locality,Gunjur Palaya,1197
locality,Kodipalya,1782
locality,Kammmanhalli,1608
locality,Lavelle Road,1941
locality,Anjanapura Township,200
locality,Hoodi Main Road,1303
locality,rajaji nagar,4118
locality,Anekal City,196
locality,B Channasandra Kasturi Nagar,280
locality,Seva Nagar,3318
locality,Kanaka Nagar Main Road,1614
locality,Belathur On Sarjapur Bagalur Road,457
locality,Sarjapur main road,3100
locality,Palace Road,2605
locality,Kodichikkanahalli,1776
locality,St. Marks Road,3512
locality,Sadashiva Nagar,2997
locality,Binnipete,544
locality,Chellikere,695
locality,Haralur Roadd,1248
locality,Muneshwara Block,2303
locality,State Bank Of India Colony,3515
locality,R R NAGAR,2813
locality,Cunningham Road,793
locality,MG Road,1984
locality,Chikkathogur Main Rd,733
locality,Belathur,454
locality,MS Palya Road,1991
locality,Jayanagar 4th T Block East,1461
locality,Basaveshwaranagar,426
locality,Begur Road,446
locality,Victoria Layout,3848
locality,Srinivasa Nagar,3497
locality,Bangalore,388
locality,Choodasandra Road,763
locality,Srinagar,3494
locality,Thubarahalli,3652
locality,Nagavara Village,2347
locality,Banashankari Stage 2nd,370
locality,Indiranagar,1359
locality,Kalidasa Layout,1565
locality,Dommasandra Village,936
locality,Jalahalli West,1426
locality,Mathikere Extension,2181
locality,Nayandahalli,2440
locality,Domlur II Stage,934
locality,Herohalli,1285
locality,Manyata Tech Park Road,2146
locality,MC Layout,1979
locality,Nagarathpet,2342
locality,Doddabidrakallu,920
locality,HSR Layout Silk Board,1223
locality,Sahakara Nagar,3011
locality,RK Hegde Nagar Bangalore,2819
locality,Kacharakanahalli,1533
locality,Palace Guttahalli,2604
locality,5th Phase JP Nagar,31
locality,Adakamaranahalli,69
locality,Chikbanavara,719
locality,Guniagrahara,1195
locality,Chikkanayakanahalli at Off Sarjapur,731
locality,Junnasandra,1509
locality,Gunjur,1196
locality,Andrahalli,193
locality,BTM 2nd Stage,297
locality,Belathur Kadugodi,455
locality,Hesaraghatta,1286
locality,K Channasandra Main Road,1514
locality,Begur Woods Layout,447
locality,Sudhama Nagar,3526
locality,Shivaji Nagar,3396
locality,Madanayakahalli,2000
locality,Neelasandra,2455
locality,KR Puram Old Madras Road,1527
locality,Akshayanagara East,110
locality,5th Block,29
locality,RMV 2nd Stage,2822
locality,Bannerghatta Road Bannerughatta,399
locality,Hanumanthanagar Bangalore,1244
locality,Jigala,1474
locality,Gandhi Bazar,1060
locality,Dommsandra,937
locality,Cottonpet,788
locality,Jayamahal,1458
locality,Malur,2095
locality,K Channasandra,1513
locality,Doddaballapur,918
locality,Kathriguppe,1682
locality,Hegde Nagar,1274
locality,Kundalahalli,1893
locality,Richmond Road,2947
locality,Sadananda Nagar,2994
locality,Yeshwantpur Village,4003
locality,Guddadahalli,1178
locality,Off Bannerghatta Road,2546
locality,Tunganagara,3701
locality,HSR LAYOUT 2ND SECTOR,1220
locality,Kr Puram Seegehalli,1865
locality,HRBR Layout,1218
locality,Classic Paradise Layout,777
locality,Shikaripalya,3379
locality,Pai Layout,2601
locality,Muddanahalli,2273
locality,Belathur Main Road,456
locality,Manyata Tech Park Nagawara,2145
locality,Suryanagar Phase I,3553
locality,Sulikunte,3533
locality,Deepanjali Nagar,846
locality,Hoskote,1312
locality,Jalahalli East,1425
locality,Kalasipalya,1557
locality,Narayanaghatta,2397
locality,Hunasamaranahalli,1324
locality,Mullur,2285
locality,Tigalarapalya,3656
locality,Avalahalli,258
locality,Raghavendra Colony,2842
locality,Sunkadakatte,3543
locality,Kathriguppe Banashankari 3rd Stage,1683
locality,K.G Govindapura,1517
locality,Konappana Agrahara,1811
locality,RT Nagar Main Road,2828
locality,Kodipur,1783
locality,Bagalur,318
locality,Mylasandra,2321
locality,Kempapura Agrahara,1706
locality,Raja Rajeshwari Nagar 5th Stage,2857
locality,Bommasandra Industrial Area,580
locality,Tippenahalli,3669
locality,Bedarahalli,435
locality,Bharti Nagar,501
locality,Godrej Woodsman Estate,1125
locality,Shantipura Main,3360
locality,Anchepalya Tumkur Road,185
locality,Kempegowdanagar,1709
locality,9th Block Jayanagar,44
locality,Jakkasandra Extension,1420
locality,Electronic City Flyover,999
locality,Belur Nagasandra,469
locality,Singasandra AECS B Block,3437
locality,Hulimangala Road,1320
locality,Neeladri Road,2452
locality,Upkar Layout,3718
locality,Jayanagar LIC Colony,1463
locality,Maruthi Layout,2170
locality,Valliyamma Layout,3766
locality,Anjanapura,199
locality,Wilson Garden Society,3979
locality,JP Nagar Phase 5,1392
locality,Basavanapura,424
locality,"Reliable Residency Layout, Phase 3",2941
locality,Syndicate Bank Colony Bangalore,3564
locality,Neo Town Electronics City Pha,2469
locality,25th B Main Rd,17
locality,Sanchar Nagar MCECHS Layout,3058
locality,John Avenue Private Road,1490
locality,Sanchar Nagar MCECHS Layout Bengaluru,3059
locality,KSFC Layout,1528
locality,KNSS colony,1522
locality,Hennur Rd,1282
locality,Ashwini Layout,242
locality,Narayana Reddy Layout Bangalore,2396
locality,Excise Layout,1020
locality,Hosapalaya Main Road,1311
locality,Borewell Road,594
locality,Jedara Halli,1467
locality,1st stage,12
locality,Somashetti Halli,3463
locality,Maruthi Nagar Madivala,2172
locality,3rd Block HBR Layout,24
locality,Veerasandra Main Road,3818
locality,Gunjur Palya road,1198
locality,Narayanapura,2398
locality,1st Phase JP Nagar,10
locality,Bellahalli,465
locality,Neo Whitefield,2470
locality,Ashraya Layout Bangalore,240
locality,Lake View Layout Road,1929
locality,Munneshwara Layout,2311
locality,"Maruthi Nagar, Madivala",2173
locality,Nagendra Block Bangalore,2351
locality,Millers Road,2229
locality,Karumariamman Road,1662
locality,Nagareshwara   Nagenahalli,2344
locality,Shakthi Nagar,3341
locality,chokkanahalli Main Road,4030
locality,ITI Layout Main Road,1342
locality,Coles Road,780
locality,Telecom Layout,3599
locality,Ambedkar Nagar,141
locality,Somasundara Palya,3464
locality,Hosakerehalli,1309
locality,Kempegowda Nagar,1708
locality,Kumaraswamy Layout I Stage,1887
locality,Ranka Colony,2917
locality,Banashankari II Stage,369
locality,1st Block Jayanagar,8
locality,HSR Layout 2nd sector Banglor,1222
locality,Kadirenahalli,1541
locality,Banashankari Stage II,372
locality,Sarakki Nagar 1st Phase,3088
locality,8th Block Jayanagar,41
locality,Jayanagar 3rd Block East,1460
locality,Yediyur,3992
locality,East End A Main Road,974
locality,MG Layout,1983
locality,Chikkanagamangala Road,730
locality,Kasavanhalli,1670
locality,Immadihalli Main Road,1351
locality,2nd Block HRBR Layout Bangalore,21
locality,C S B Layout,630
locality,RK Township,2820
locality,Kudlu Main Road,1880
locality,Shirdi Sai Nagar Bangalore,3391
locality,Laxminarayana Layout,1951
locality,MLA Layout Main Road,1989
locality,Defence Colony Shakara Nagar,850
locality,Maruthi HBCS Layout,2169
locality,Sri Krishna Layout,3488
locality,Anand Gokul Layout,169
locality,Wellington Paradise,3956
locality,Hennuru,1284
locality,Neeladri Road Neeladri Nagar,2453
locality,Koramangala 7th Block,1835
locality,Junior College Road,1507
locality,Abbaiah Reddy Layout Road,57
locality,Stage 1,3513
locality,Bollahalli,575
locality,Hemmigepura,1278
locality,Hanuman Nagar,1243
locality,Arkavathy Layout,229
locality,Mico Layout,2222
locality,Basavanna Nagar Main,425
locality,Sector 5 HSR Layout,3229
locality,Pushpagiri Nagar,2799
locality,Giri Nagar,1119
locality,Kaval Hosahalli,1699
locality,Pattandur Agrahara,2682
locality,Venkatadri Layout,3832
locality,Amalodbhavi Nagar,128
locality,Bileshivale,542
locality,M S R Main Road,1976
locality,Jakkasandra,1419
locality,JC Layout,1386
locality,Seetharampalya,3305
locality,Honasandra,1301
locality,Shri Krishna Nagar 8th Phase,3414
locality,Glass Factory Layout,1121
locality,Allalasandra,120
locality,Magadi,2028
locality,Maragondanahalli Road,2150
locality,Hegganahalli,1275
locality,Prithvi Layout,2774
locality,7th Cross,39
locality,Singasandra AECS Layout A Block,3438
locality,Stage 2 BTM Layout,3514
locality,Banashankari Stage I,371
locality,SMV Layout,2984
locality,Sampangi Rama Nagara,3048
locality,Kacharakanahalli Hennur Main Road,1534
locality,Moranapalli,2262
locality,Kuduregere Colony,1881
locality,MEG Layout,1981
locality,LHR Layout,1916
locality,Veer Sandra,3813
locality,17th Main Road,7
locality,Residency Road,2943
locality,Dollars Colony,927
locality,Deepthi Nagar Bangalore,847
locality,Harlur Road,1259
locality,SG Palya Main Rd,2981
locality,Cholur Palya,761
locality,Bidare Agraha,534
locality,Madivala,2025
locality,Sathya Sai Layout,3125
locality,Paradise Colony,2649
locality,JP Nagar,1388
locality,Cambridge Layout,640
locality,Rustum Bagh Main Road,2970
locality,Jayanagara 2nd Block,1465
locality,Kurubarahalli on Magadi Road,1904
locality,Tata Nagar,3593
locality,Krishnappa Layout,1871
locality,South Bangalore,3475
locality,Sivarampalli,3452
locality,Hilalige Road,1288
locality,Vakil Whispering Woods,3761
locality,Veerabhadra Nagar,3816
locality,Vivek Nagar,3919
locality,Ittamadu,1374
locality,Off Madras Road,2549
locality,Ganga Nagar,1067
locality,Bapuji Nagar,408
locality,Vajarahalli,3759
locality,Kada Agrahara,1536
locality,Geddalahalli,1088
locality,S.Bingipura,2973
locality,Seegehalli Magadi Road,3304
locality,Sector 7 HSR Layout,3238
locality,Hosa Road Junction,1307
locality,Nagarathnamma Layout,2341
locality,Moodalapalya,2257
locality,Kambipura,1603
locality,Lal Bahadur Shastri Nagar,1934
locality,Ekarajapura,992
locality,Ckikkakammana Halli,776
locality,Kaveri Nagar,1701
locality,EPIP Zone,969
locality,Koramangala 4th Block,1833
locality,Dodda Banaswadi Main Road,917
locality,Arekere,227
locality,Arakere Bannerghatta Road,223
locality,Kodathi Village Road,1775
locality,Venkataswara Layout,3836
locality,ALF Garden Layout,53
locality,Majestic,2068
locality,Sector 1 HSR Layout,3138
locality,Vinayakanagar,3890
locality,Cheemasandra,692
locality,R T Nagar,2815
locality,RT Nagar HMT Layout,2826
locality,RT Nagar I,2827
locality,HBR layout 5th Block,1215
locality,Vasatha Vallbha Nagar,3798
locality,Happy Valley Layout,1247
locality,East of NGEF Layout,984
locality,Vijinapura,3868
locality,Bikasipura,539
locality,BTM 4th stage,298
locality,Sevashrama,3319
locality,Marathahalli Village,2155
locality,Railway Mens Empyloyees Layout 2nd Stage,2850
locality,Jakkasandra Kormangala,1421
locality,Subramani Layout,3520
locality,KalkereAgara Main Road,1577
locality,Whitefield Hoskote Road,3977
locality,Dhanalakshmi Layout,883
locality,Thirupalya,3640
locality,Kannamangala New Airport Road,1638
locality,Sorahunase,3471
locality,Adarsh Palm Retreat,76
locality,OMBR Layout Chikka Banaswadi,2543
locality,Babusa Palya,306
locality,Hennur Road,1283
locality,Mahatma Gandhi Nagar,2046
locality,Thyagarajanagar,3655
locality,Garudacharpalya,1081
locality,Vittal Mallya Road,3913
locality,Malathalli Road,2080
locality,Garudachar Palya,1079
locality,Koramangala 6th Block,1834
locality,Bidaraguppe,533
locality,Jakkuru Layout,1423
locality,Sannatammanahalli,3068
locality,Ganigarahalli,1071
locality,Kadaagrahara,1537
locality,Hullahalli,1322
locality,Panathur Main Road,2628
locality,Nagadevanahalli,2335
locality,Michael Palaya,2221
locality,Off Cunningham Road,2548
locality,Kundalahalli Colony,1894
locality,Kundalahalli Main Road,1895
locality,Rahmath Nagar,2848
locality,NR Colony,2330
locality,AECS Layout,49
locality,Austin Town,255
locality,St Johns Church Rd,3509
locality,Amarjyoti Layout,132
locality,MM Layout,1990
locality,Banashankari Temple Ward,374
locality,Wind Tunnel Road,3980
locality,new bel road,4105
locality,Brunton Road,612
locality,Dollars Colony Ashwath Nagar,928
locality,Ayyappa Nagar Main Road,271
locality,Chinana Layout Guddadahalli,735
locality,Indiranagar Defence Colony,1360
locality,Vittal Nagar,3914
locality,Chennammana Kere,704
locality,Ulsoor Road,3709
locality,Aga Abbas Ali Road,86
locality,Nandidurga Road Crescent,2381
locality,Nagdevanahalli,2349
locality,Yelachenahalli,3993
locality,Weavers Colony,3955
locality,Vibhutipura Extension,3846
locality,Sathnur Village,3123
locality,Veerannapalya,3817
locality,Kanmanike,1636
locality,Chandra Layout,678
locality,Shampura Main Road,3348
locality,Hurulichikanahalli,1325
locality,BCC Layout,286
locality,Ittamadu Banashankari,1375
locality,Malleshwaram 11th Cross,2092
locality,Azad Nagar,273
locality,Sidedahalli,3427
locality,Srinivas Nagar,3495
locality,Vidyapeeta Main,3851
locality,Banashankari 3rd Stage Banashankari,367
locality,Immadihalli Whitefield,1352
locality,Thirupalya Road,3641
locality,Near Bellandur,2443
locality,Ragigudda Slum,2844
locality,1st Cross,9
locality,Gopalkrishna Nagar,1139
locality,Post Office Road,2740
locality,MS Ramaiah North City Bangalore,1992
locality,Bommasandra Jigani Link Rd,581
locality,Gollahalli Electronic City Road,1135
